Airportname,Year,longitude,latitude,month,value
Omsk (central),2019,73.007305,55.085528000000004,1,195.0
Omsukçan,2019,155.740193,62.459104,1,0.0
Orenburg (central),2019,55.457063,51.79139,1,67.99
Okha,2019,142.890431,53.517945,1,4.81
Okhotsk,2019,143.065575,59.413192,1,92.34
Penza,2019,45.023041,53.118367000000006,1,0.2
Petropavlovsk (Yelizovo),2019,158.425285,53.169328,1,406.5
Pauline Osipenko,2019,136.473657,52.438759999999995,1,0.0
Polar,2019,112.038215,66.400137,1,18.29
Samara (Kurumoch),2019,50.157667,53.512259,1,174.52
Saint Petersburg (Pulkovo),2019,30.273027000000003,59.799769999999995,1,1710.0
Saransk,2019,45.217131,54.13793199999999,1,0.0
Saratov (central),2019,106.644236,47.454355,1,18.8
Sochi,2019,39.941316,43.448370000000004,1,146.42
Stavropol (Shpakovskoye),2019,42.105169000000004,45.112737,1,46.0
Strezhevoy,2019,77.64952,60.717273999999996,1,1.7
Surgut,2019,73.40807,61.34020400000001,1,196.18
Syktyvkar,2019,50.851293,61.663805,1,40.3
Tiksi,2019,128.888094,71.698596,1,27.89
Tomsk (Bogashevo),2019,85.209517,56.388412,1,107.75
Ust-Tsilma,2019,124.760632,55.282031,1,0.0
Tyumen (Roschino),2019,65.348628,57.181514,1,238.3
Ulyanovsk (Barataevka),2019,48.798606,54.41412,1,15.95
Ulyanovsk (East),2019,48.798606,54.41412,1,0.0
Ufa,2019,55.883529,54.566329,1,235.41
Khabarovsk (MVL),2019,135.171082,48.525706,1,0.29
Khabarovsk (New),2019,135.171082,48.525706,1,1172.63
Khanty-Mansiysk,2019,69.095798,61.026143999999995,1,29.47
Khatanga,2019,102.473016,71.978434,1,0.0
Herpuchi,2019,138.82439499999998,52.976379,1,0.12
Cheboksary,2019,47.320195,56.082722,1,1.1
Chelyabinsk (Balandino),2019,61.50928199999999,55.298164,1,165.64
Reads (tub),2019,113.30649199999999,52.020464000000004,1,148.04
Çumikan,2019,135.28347,54.69673,1,1.61
Shakhtars'k,2019,142.076602,49.189684,1,0.0
Shushenskoe,2019,92.04827399999999,53.388273999999996,1,0.0
Ekimçan,2019,132.950411,53.074422999999996,1,0.0
Yuzhno-(Khomutovo),2019,142.723677,46.886967,1,527.55
Yakutsk,2019,129.750225,62.08659399999999,1,356.46
Yamburg,2019,75.09778299999999,67.980026,1,0.0
Yaroslavl (Tunoshna),2019,40.170054,57.56231,1,46.99
Abakan,2018,91.39973499999999,53.751351,1,63.39
Anapa (Vitjazevo),2018,37.341511,45.003748,1,43.38
Arkhangelsk (Talagy),2018,40.714892,64.596138,1,119.56
Astrakhan (Narimanovo),2018,47.999896,46.287344,1,47.67
Trip,2018,138.042241,56.431311,1,0.0
Barnaul (Titov Name),2018,83.547723,53.361377000000005,1,0.0
Belgorod,2018,36.570541,50.645157,1,0.0
Novy Urengoy,2018,66.694583,63.697412,1,6.5
Blagoveshchensk,2018,127.40753600000001,50.42238,1,195.2
Bogorodskoe,2018,140.44579199999998,52.376818,1,0.0
Bugulma,2018,52.79030600000001,54.634026,1,2.04
Vladivostok (Knevichi),2018,132.16510300000002,43.396702000000005,1,1480.63
Volgograd (Gumrak),2018,44.356743,48.792276,1,53.0
Vorkuta,2018,64.00447,67.49024399999999,1,4.44
Voronezh (Chertovitskoe),2018,39.225359000000005,51.812576,1,12.37
Ekaterinburg (Koltsovo),2018,60.802263,56.75025600000001,1,1078.02
Zeyskaya,2018,127.08798700000001,53.690803,1,0.0
Ivanovo (Yuzhny),2018,40.943709999999996,56.942303,1,22.6
Irkutsk,2018,104.355777,52.273103000000006,1,537.06
Kaluga,2018,36.366974,54.546890000000005,1,0.0
Kemerovo,2018,86.118863,55.28199,1,75.86
Keperveem,2018,166.145801,67.84458199999999,1,44.0
Kogalym,2018,74.5295,62.195565,1,48.4
Komsomolsk-on-Amur,2018,136.929004,50.403351,1,64.54
Krasnodar (Paszkowski),2018,39.139669,45.033923,1,344.77
Krasnoyarsk (Emelyanovo),2018,92.486391,56.180578000000004,1,763.99
Kursk (Eastern),2018,36.282441999999996,51.749429,1,0.0
red,2018,94.40495,51.676108,1,0.98
Zabaykalsk,2018,114.831553,60.722584999999995,1,16.79
